@timestamp,agent.id,agent.name,rule.id,rule.description,rule.level,rule.groups,decoder.name,location,full_log,data.audit.id
"Apr 13, 2026 @ 14:56:34.943",0,9d7cd204507c,502,Wazuh server started.,3,ossec,ossec,wazuh-monitord,ossec: Manager started.,-
"Apr 11, 2026 @ 13:03:46.465",3,VM,504,Wazuh agent disconnected.,3,ossec,ossec,wazuh-monitord,ossec: Agent disconnected: 'VM-any'.,-
"Apr 11, 2026 @ 12:45:56.411",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:40:36.396",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:34:16.376",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:28:56.362",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:22:31.345",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:21:56.343",3,VM,80730,Auditd: SELinux permission check.,3,"audit, audit_selinux",auditd,/var/log/audit/audit.log,"type=AVC msg=audit(1775890313.167:3558700): apparmor=""DENIED"" operation=""symlink"" class=""file"" profile=""snap.firefox.firefox"" name=""/dev/char/195:254"" pid=9634 comm=""CanvasRenderer"" requested_mask=""c"" denied_mask=""c"" fsuid=1000 ouid=1000FSUID=""diat"" OUID=""diat"" type=SYSCALL msg=audit(1775890313.167:3558700): arch=c000003e syscall=88 success=no exit=-13 a0=70f19fafaed0 a1=70f19fafae50 a2=0 a3=0 items=2 ppid=8313 pid=9634 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=4 comm=""CanvasRenderer"" exe=""/snap/firefox/7967/usr/lib/firefox/firefox"" subj=snap.firefox.firefox key=(null)ARCH=x86_64 SYSCALL=symlink AUID=""diat"" UID=""diat"" GID=""diat"" EUID=""diat"" SUID=""diat"" FSUID=""diat"" EGID=""diat"" SGID=""diat"" FSGID=""diat"" type=CWD msg=audit(1775890313.167:3558700): cwd=""/home/diat"" type=PATH msg=audit(1775890313.167:3558700): item=0 name=""/dev/char/"" inode=166 dev=00:06 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1775890313.167:3558700): item=1 name=""../nvidia-modeset"" nametype=UNKNOWN cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 type=PROCTITLE msg=audit(1775890313.167:3558700): proctitle=""/snap/firefox/7967/usr/lib/firefox/firefox""",3558700
"Apr 11, 2026 @ 12:21:56.342",3,VM,80730,Auditd: SELinux permission check.,3,"audit, audit_selinux",auditd,/var/log/audit/audit.log,"type=AVC msg=audit(1775890313.043:3558691): apparmor=""DENIED"" operation=""symlink"" class=""file"" profile=""snap.firefox.firefox"" name=""/dev/char/195:254"" pid=9634 comm=""CanvasRenderer"" requested_mask=""c"" denied_mask=""c"" fsuid=1000 ouid=1000FSUID=""diat"" OUID=""diat"" type=SYSCALL msg=audit(1775890313.043:3558691): arch=c000003e syscall=88 success=no exit=-13 a0=70f19fafaf80 a1=70f19fafaf00 a2=0 a3=0 items=2 ppid=8313 pid=9634 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=4 comm=""CanvasRenderer"" exe=""/snap/firefox/7967/usr/lib/firefox/firefox"" subj=snap.firefox.firefox key=(null)ARCH=x86_64 SYSCALL=symlink AUID=""diat"" UID=""diat"" GID=""diat"" EUID=""diat"" SUID=""diat"" FSUID=""diat"" EGID=""diat"" SGID=""diat"" FSGID=""diat"" type=CWD msg=audit(1775890313.043:3558691): cwd=""/home/diat"" type=PATH msg=audit(1775890313.043:3558691): item=0 name=""/dev/char/"" inode=166 dev=00:06 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1775890313.043:3558691): item=1 name=""../nvidia-modeset"" nametype=UNKNOWN cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 type=PROCTITLE msg=audit(1775890313.043:3558691): proctitle=""/snap/firefox/7967/usr/lib/firefox/firefox""",3558691
"Apr 11, 2026 @ 12:21:56.342",3,VM,80730,Auditd: SELinux permission check.,3,"audit, audit_selinux",auditd,/var/log/audit/audit.log,"type=AVC msg=audit(1775890313.094:3558694): apparmor=""DENIED"" operation=""symlink"" class=""file"" profile=""snap.firefox.firefox"" name=""/dev/char/195:254"" pid=9634 comm=""CanvasRenderer"" requested_mask=""c"" denied_mask=""c"" fsuid=1000 ouid=1000FSUID=""diat"" OUID=""diat"" type=SYSCALL msg=audit(1775890313.094:3558694): arch=c000003e syscall=88 success=no exit=-13 a0=70f19fafaed0 a1=70f19fafae50 a2=0 a3=0 items=2 ppid=8313 pid=9634 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=4 comm=""CanvasRenderer"" exe=""/snap/firefox/7967/usr/lib/firefox/firefox"" subj=snap.firefox.firefox key=(null)ARCH=x86_64 SYSCALL=symlink AUID=""diat"" UID=""diat"" GID=""diat"" EUID=""diat"" SUID=""diat"" FSUID=""diat"" EGID=""diat"" SGID=""diat"" FSGID=""diat"" type=CWD msg=audit(1775890313.094:3558694): cwd=""/home/diat"" type=PATH msg=audit(1775890313.094:3558694): item=0 name=""/dev/char/"" inode=166 dev=00:06 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1775890313.094:3558694): item=1 name=""../nvidia-modeset"" nametype=UNKNOWN cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 type=PROCTITLE msg=audit(1775890313.094:3558694): proctitle=""/snap/firefox/7967/usr/lib/firefox/firefox""",3558694
